Category,Application,Purpose,Purdue Level,Network Zone,Justification
Enterprise Business Systems,Document Management System,Stores and manages documents,4-5,Enterprise,"Manages business and technical documents; No operational control capabilities; Used across the organization; Often accessible externally for collaboration; Important for knowledge management and compliance; May contain sensitive design and operational documents"
Enterprise Business Systems,Regulatory Compliance System,Manages regulatory compliance,4,Enterprise,"Tracks regulatory requirements and compliance; No direct operational control capabilities; Used by compliance and legal teams; Operates on business timeframes (days to months); Critical for regulatory reporting and compliance; Important for avoiding penalties and maintaining licenses"
Enterprise Business Systems,Supply Chain Management System,Manages procurement and suppliers,4,Enterprise,"Manages procurement, vendors, and supply chain; No direct operational control capabilities; Used by procurement and supply chain teams; Operates on business timeframes (hours to days); Important for materials and services procurement; Integrates with financial and inventory systems"
Enterprise Business Systems,Contract Management System,Manages contracts and agreements,4,Enterprise,"Manages contracts with customers, vendors, partners; No operational control capabilities; Used by legal, procurement, and sales teams; Operates on business timeframes (days to months); Handles sensitive contractual information; Important for legal compliance and relationship management"
IT Service Management,IT Service Management (ITSM) Platform,Manages IT service requests and incidents,3-4,"Management, Enterprise","Manages IT service tickets and workflows; No direct control of operational systems; Used by IT support staff; Operates on business timeframes (minutes to days); Critical for IT service delivery and support; May require integration with multiple systems across zones"
IT Service Management,Configuration Management Database (CMDB),Stores information about IT assets and relationships,3-4,"Management, Enterprise","Maintains inventory of IT and OT assets; No direct control capabilities; Used by IT staff and asset managers; Provides critical information for change management; Important for security compliance and auditing; Requires accurate information about assets across zones"
IT Service Management,Change Management System,Manages and tracks system changes,3-4,"Management, Enterprise","Controls the change management process; No direct control capabilities but governs changes; Used by IT staff and change approvers; Critical for preventing unauthorized changes; Important for compliance and audit requirements; Helps prevent changes that could impact reliability"
IT Service Management,Knowledge Management System,Stores technical documentation and procedures,4,Enterprise,"Maintains technical documentation and procedures; No control capabilities; Used by IT staff and technicians; Operates on business timeframes; Important for consistent IT operations; May contain sensitive configuration information"
IT Service Management,IT Asset Management System,Tracks IT assets throughout lifecycle,4,Enterprise,"Tracks IT assets from procurement to disposal; No direct control capabilities; Used by IT asset managers and procurement; Operates on business timeframes (days to months); Important for financial and compliance purposes; Integrates with financial and procurement systems"
Network Management,Network Monitoring System,Monitors network performance and availability,3,Management,"Monitors network devices and traffic; No direct control capabilities but critical for operations; Used by network administrators; Requires access to network devices across zones; Critical for maintaining network reliability; Important for troubleshooting and capacity planning"
Network Management,Network Configuration Management,Manages network device configurations,3,Management,"Manages configurations for network devices; Changes directly impact network connectivity; Used by network administrators; Critical for maintaining consistent configurations; Must be secured to prevent unauthorized changes; Important for compliance and security"
Network Management,Network Traffic Analysis,Analyzes network traffic patterns,3,"Management, Security","Analyzes network traffic for performance and security; No direct control capabilities; Used by network and security teams; Processes potentially sensitive network data; Important for security monitoring and performance; May require deep packet inspection capabilities"
Network Management,IP Address Management (IPAM),Manages IP address allocation,3,Management,"Manages IP address space and allocation; No direct control capabilities but critical for operations; Used by network administrators; Important for preventing IP conflicts; Integrates with DNS and DHCP services; Contains critical network information requiring protection"
Network Management,Software-Defined Networking (SDN) Controller,Centrally manages network configurations,3,Management,"Centrally controls network configurations and policies; Directly impacts network connectivity and security; Used by network administrators; Critical for network operations in SDN environments; Must be highly secured against unauthorized access; Represents a potential single point of failure"
Network Management,Network Performance Management,Monitors and optimizes network performance,3,Management,"Monitors network performance metrics; No direct control capabilities but influences decisions; Used by network administrators; Processes network telemetry data; Important for capacity planning and troubleshooting; May require access to devices across multiple zones"
System Management,Server Management Platform,Manages and monitors server infrastructure,3,Management,"Manages server configurations and health; May have direct control capabilities for servers; Used by system administrators; Critical for maintaining server infrastructure; Must be secured against unauthorized access; Important for patching and compliance"
System Management,Virtualization Management Platform,Manages virtual machine infrastructure,3,Management,"Manages virtual machines and hypervisors; Directly controls virtual infrastructure; Used by virtualization administrators; Critical for maintaining virtual infrastructure; Must be secured against unauthorized access; Important for resource allocation and availability"
System Management,Container Orchestration Platform,Manages containerized applications,3-4,"Management, Enterprise","Manages container deployment and orchestration; Controls application deployment and scaling; Used by DevOps teams and administrators; Critical for containerized application management; Must be secured against unauthorized access; Important for application availability and scaling"
System Management,Cloud Management Platform,Manages cloud resources and services,3-4,"Management, Enterprise","Manages cloud resources across providers; Controls cloud resource provisioning and configuration; Used by cloud administrators; Critical for cloud infrastructure management; Must be secured against unauthorized access; Important for cost management and governance"
System Management,Configuration Management Tool,Automates system configuration,3,Management,"Automates configuration of servers and applications; Directly impacts system configurations; Used by system administrators and DevOps; Critical for maintaining consistent configurations; Must be secured to prevent unauthorized changes; Important for compliance and security"
System Management,Patch Management System,Manages software updates and patches,3,Management,"Manages software patches and updates; Directly impacts system security and stability; Used by system administrators; Critical for maintaining security posture; Must be secured against unauthorized access; Important for compliance and vulnerability management"
System Management,Remote Access Solution,Provides secure remote access to systems,3-3.5,"Management, Security","Provides remote access to critical systems; Directly impacts security posture; Used by administrators and support staff; Critical for remote management and support; Must be highly secured with MFA and monitoring; Represents a potential attack vector requiring strict controls"
Security Management,Security Information and Event Management (SIEM),Collects and analyzes security events,3-4,"Security, Management","Collects and analyzes security logs and events; No direct control capabilities but critical for security; Used by security operations teams; Processes sensitive security data from multiple zones; Critical for threat detection and incident response; Important for security compliance and reporting"
Security Management,Endpoint Detection and Response (EDR),Monitors endpoints for security threats,3-4,"Security, Management","Monitors endpoints for security threats; May have response capabilities on endpoints; Used by security operations teams; Deployed across multiple zones on endpoints; Critical for threat detection and response; Important for security compliance and incident response"
Security Management,Vulnerability Management System,Identifies and manages vulnerabilities,3-4,"Security, Management","Scans systems for security vulnerabilities; No direct control capabilities but influences patching; Used by security and IT teams; Operates across multiple zones; Critical for maintaining security posture; Important for compliance and risk management"
Security Management,Security Orchestration Automation and Response (SOAR),Automates security incident response,3-4,"Security, Management","Automates security incident response workflows; May have automated response capabilities; Used by security operations teams; Integrates with multiple security tools; Critical for efficient incident response; Important for consistent security operations"
Security Management,Data Loss Prevention (DLP),Prevents unauthorized data exfiltration,3-4,"Security, Management","Monitors and prevents unauthorized data transfers; May block sensitive data movements; Used by security and compliance teams; Deployed across multiple zones; Critical for data protection and compliance; Important for preventing data breaches"
Security Management,Privileged Access Management (PAM),Manages privileged account access,3-3.5,"Security, Management","Controls access to privileged accounts; Directly impacts security posture; Used by security administrators; Critical for protecting high-value targets; Must be highly secured and monitored; Important for compliance and preventing unauthorized access"
Security Management,Network Access Control (NAC),Controls device access to networks,3,"Security, Management","Controls which devices can access networks; Directly impacts network access; Used by security and network teams; Deployed at network access points; Critical for maintaining network security; Important for compliance and security segmentation"
Security Management,Security Compliance Management,Manages security compliance requirements,4,"Security, Enterprise","Tracks compliance with security standards and regulations; No direct control capabilities; Used by security and compliance teams; Operates on business timeframes (days to months); Important for regulatory compliance; Integrates with multiple security tools"
Data Management,Database Management System,Manages operational and business databases,3-4,"Management, Enterprise","Manages structured data for applications; Controls database configurations and access; Used by database administrators; Critical for application data management; Must be secured against unauthorized access; Important for data integrity and availability"
Data Management,Data Warehouse Platform,Stores and analyzes business data,4,Enterprise,"Stores and processes business data for analysis; No direct operational control capabilities; Used by data analysts and business teams; Operates on business timeframes (hours to days); Important for business intelligence and reporting; Contains sensitive business data requiring protection"
Data Management,Big Data Platform,Processes and analyzes large datasets,3-4,"Operations, Enterprise","Processes large volumes of operational and business data; No direct control capabilities; Used by data scientists and analysts; Operates on various timeframes depending on use case; Important for advanced analytics and insights; May process sensitive data requiring protection"
Data Management,Data Integration Platform,Integrates data across systems,3-4,"Operations, Enterprise","Moves and transforms data between systems; No direct control capabilities but critical for data flows; Used by integration specialists and developers; Operates across multiple zones and systems; Important for consistent data across systems; Must be secured to protect data in transit"
Data Management,Master Data Management,Maintains consistent master data,4,Enterprise,"Maintains consistent master data across systems; No direct control capabilities; Used by data stewards and business teams; Operates on business timeframes (hours to days); Important for data quality and consistency; Contains critical reference data for multiple systems"
Data Management,Data Backup and Recovery,Protects data through backup and recovery,3-4,"Management, Enterprise","Backs up critical data for disaster recovery; No direct control capabilities but critical for resilience; Used by IT operations teams; Operates across multiple zones and systems; Critical for business continuity and disaster recovery; Must be secured to protect backup data"
Data Management,Data Archiving System,Archives data for long-term retention,4,Enterprise,"Archives data for long-term retention and compliance; No direct control capabilities; Used by IT and compliance teams; Operates on business timeframes (days to years); Important for regulatory compliance and legal requirements; Must maintain data integrity and accessibility"
Communication and Collaboration,Email System,Provides email communication,4-5,Enterprise,"Provides email communication services; No operational control capabilities; Used by staff across the organization; Often accessible externally; Contains potentially sensitive business communications; Important for business communications and operations"
Communication and Collaboration,Unified Communications Platform,Provides voice and video communications,4-5,Enterprise,"Provides voice, video, and messaging services; No operational control capabilities; Used by staff across the organization; Often accessible externally; Important for business communications; May integrate with business applications"
Communication and Collaboration,Collaboration Platform,Enables team collaboration and document sharing,4-5,Enterprise,"Enables document sharing and team collaboration; No operational control capabilities; Used by staff across the organization; Often accessible externally; Contains potentially sensitive business documents; Important for team productivity and knowledge sharing"
Communication and Collaboration,Intranet Portal,Provides internal information sharing,4,Enterprise,"Provides internal information sharing and resources; No operational control capabilities; Used by staff across the organization; Operates on business timeframes; Contains internal business information; Important for internal communications and knowledge sharing"
Communication and Collaboration,Emergency Notification System,Alerts staff during emergencies,3-4,"Operations, Enterprise","Sends emergency notifications to staff; No direct control capabilities but critical during emergencies; Used by emergency response teams; Must be highly available and reliable; Critical for emergency response and safety; May integrate with physical security systems"
Endpoint Management,Endpoint Management System,Manages end-user devices,3-4,"Management, Enterprise","Manages configurations and software on endpoints; Controls endpoint configurations and software; Used by IT support teams; Deployed across multiple zones on endpoints; Important for security and compliance; Critical for maintaining consistent endpoint configurations"
Endpoint Management,Mobile Device Management (MDM),Manages mobile devices,4,Enterprise,"Manages mobile devices and applications; Controls mobile device configurations and access; Used by IT support teams; Manages devices that may access multiple zones; Important for securing mobile access to systems; Critical for BYOD and corporate mobile device management"
Endpoint Management,Desktop Virtualization Platform,Provides virtual desktop infrastructure,3-4,"Management, Enterprise","Provides virtual desktops to users; Controls virtual desktop infrastructure; Used by end users and IT teams; May provide access to multiple zones; Important for secure access to systems; Critical for remote work and specialized access requirements"
Endpoint Management,Software Distribution System,Deploys software to endpoints,3-4,"Management, Enterprise","Distributes software to endpoints; Controls software deployment and updates; Used by IT support teams; Deployed across multiple zones on endpoints; Important for maintaining software currency; Critical for security patching and application deployment"
Endpoint Management,Print Management System,Manages printing infrastructure,4,Enterprise,"Manages printers and print services; No direct operational control capabilities; Used by end users and IT support; Operates on business timeframes; Important for business operations; May handle sensitive documents requiring protection"
Specialized Infrastructure,Time Synchronization Service,Provides accurate time to systems,2-3,"OT, Management","Provides accurate time synchronization; Critical for event correlation and operations; Used by all systems requiring accurate time; Must be highly available and accurate; Critical for security logging and event correlation; Especially important for systems with time-sensitive operations"
Specialized Infrastructure,Domain Name System (DNS),Resolves hostnames to IP addresses,3,Management,"Resolves hostnames to IP addresses; Critical for network operations; Used by all networked systems; Must be highly available and secure; Critical for network communications; Represents a potential attack vector requiring protection"
Specialized Infrastructure,Dynamic Host Configuration Protocol (DHCP),Assigns IP addresses to devices,3,Management,"Assigns IP addresses to network devices; Critical for network operations; Used by network devices requiring IP addresses; Must be highly available and secure; Important for network management; Represents a potential attack vector requiring protection"
Specialized Infrastructure,Directory Services,Provides authentication and authorization,3-4,"Management, Security","Provides centralized authentication and authorization; Controls access to multiple systems; Used across the organization for access control; Critical for security and access management; Must be highly secured and available; Represents a high-value target requiring protection"
Specialized Infrastructure,Public Key Infrastructure (PKI),Manages digital certificates,3-4,"Security, Management","Manages digital certificates for authentication and encryption; Critical for secure communications; Used across the organization for secure systems; Must be highly secured and controlled; Critical for establishing trust in communications; Represents a high-value target requiring protection"
Specialized Infrastructure,Load Balancer,Distributes traffic across servers,3,Management,"Distributes network traffic across multiple servers; Directly impacts application availability; Used for high-availability applications; Must be highly available and properly configured; Critical for application availability and performance; Important for disaster recovery and resilience"
Specialized Infrastructure,Content Delivery Network (CDN),Accelerates content delivery,5,App DMZ,"Accelerates delivery of web content; No operational control capabilities; Used for external-facing web applications; Operates at the edge of the network; Important for performance of external applications; Must be secured against unauthorized content modification"
Specialized Infrastructure,Storage Area Network (SAN),Provides centralized storage,3,Management,"Provides centralized storage for servers and applications; Critical for data storage and availability; Used by multiple systems across zones; Must be highly available and properly secured; Critical for data integrity and availability; Represents a potential single point of failure"
Development and Testing,Development Environment,Supports application development,4-5,Enterprise,"Supports development of applications and systems; Isolated from production systems; Used by developers and testers; Should not have direct access to production; Important for application development lifecycle; Should be secured but with different controls than production"
Development and Testing,Test Environment,Supports testing of applications,4,Enterprise,"Supports testing of applications before production; Isolated from production systems; Used by testers and QA teams; Should closely mimic production without direct access; Important for quality assurance; Should be secured but with different controls than production"
Development and Testing,Continuous Integration/Continuous Deployment (CI/CD),Automates software delivery pipeline,4,Enterprise,"Automates building, testing, and deployment of applications; May have controlled access to production for deployments; Used by development and operations teams; Critical for modern application delivery; Must be secured to prevent unauthorized deployments; Important for consistent and reliable deployments"
Development and Testing,Source Code Management,Manages application source code,4,Enterprise,"Manages source code for applications and systems; No direct operational control capabilities; Used by developers and DevOps teams; Contains intellectual property requiring protection; Critical for application development and versioning; Must be secured against unauthorized access"
Development and Testing,Application Performance Monitoring,Monitors application performance,3-4,"Management, Enterprise","Monitors performance of applications; No direct control capabilities but critical for operations; Used by operations and development teams; Provides visibility into application behavior; Important for troubleshooting and optimization; May require access to sensitive application data"
Development and Testing,API Management Platform,Manages API lifecycle and security,3-4,"Management, Enterprise","Manages APIs and their security; Controls access to APIs and services; Used by developers and API administrators; Critical for secure integration between systems; Must be secured against unauthorized access; Important for consistent API governance and security"
Development and Testing,DevOps Toolchain,Supports DevOps practices and automation,4,Enterprise,"Supports automation of development and operations tasks; May have controlled access to production systems; Used by development and operations teams; Important for efficient application delivery; Must be secured to prevent unauthorized access; Critical for modern application lifecycle management"
